CODIGO;DESCRICAO
3188;DESENHISTAS PROJETISTAS E MODELISTAS DE PRODUTOS E SERVIÇOS DIVERSOS
3191;TÉCNICOS DO VESTUÁRIO
3192;TÉCNICOS DO MOBILIÁRIO E AFINS
3201;TÉCNICOS EM BIOLOGIA
3211;TÉCNICOS AGRÍCOLAS
3212;TÉCNICOS FLORESTAIS
3213;TÉCNICOS EM AQÜICULTURA
3221;TECNÓLOGOS E TÉCNICOS EM TERAPIAS COMPLEMENTARES E ESTÉTICAS
3222;TÉCNICOS E AUXILIARES DE ENFERMAGEM
3223;TÉCNICOS EM ÓPTICA E OPTOMETRIA
3224;TÉCNICOS DE ODONTOLOGIA
3225;TÉCNICOS EM PRÓTESES ORTOPÉDICAS
3226;TÉCNICOS DE IMOBILIZAÇÕES ORTOPÉDICAS
3231;TÉCNICOS EM PECUÁRIA
3241;TECNÓLOGOS E TÉCNICOS EM MÉTODOS DE DIAGNÓSTICOS E TERAPÊUTICA
3242;TÉCNICOS DE LABORATÓRIOS DE SAÚDE E BANCOS DE SANGUE
3250;ENÓLOGOS, PERFUMISTAS E AROMISTAS
3251;TÉCNICO EM FARMÁCIA E EM MANIPULAÇÃO FARMACÊUTICA
3252;TÉCNICOS EM PRODUÇÃO, CONSERVAÇÃO E DE QUALIDADE DE ALIMENTOS
3253;TÉCNICOS DE APOIO À BIOTECNOLOGIA
3281;TÉCNICOS EM NECRÓPSIA E TAXIDERMISTAS
3311;PROFESSORES DE NÍVEL MÉDIO NA EDUCAÇÃO INFANTIL
3312;PROFESSORES DE NÍVEL MÉDIO NO ENSINO FUNDAMENTAL
3313;PROFESSORES DE NÍVEL MÉDIO NO ENSINO PROFISSIONALIZANTE
3321;PROFESSORES LEIGOS NO ENSINO FUNDAMENTAL
3322;PROFESSORES PRÁTICOS NO ENSINO PROFISSIONALIZANTE
3331;INSTRUTORES E PROFESSORES DE CURSOS LIVRES
3341;INSPETORES DE ALUNOS E AFINS
3411;PILOTOS DE AVIAÇÃO COMERCIAL, MECÂNICOS DE VÔO E AFINS
3412;TÉCNICOS MARÍTIMOS, FLUVIÁRIOS E PESCADORES DE CONVÉS
3413;TÉCNICOS MARÍTIMOS E FLUVIÁRIOS DE MÁQUINAS
3421;ESPECIALISTAS EM LOGÍSTICA DE TRANSPORTES
3422;DESPACHANTES ADUANEIROS
3423;TÉCNICOS EM TRANSPORTES RODOVIÁRIOS
3424;TÉCNICOS EM TRANSPORTES METROFERROVIÁRIOS
3425;TÉCNICOS EM TRANSPORTES AÉREOS
3426;TÉCNICOS EM TRANSPORTES POR VIAS NAVEGÁVEIS E OPERAÇÕES PORTUÁRIAS
3511;TÉCNICOS EM CONTABILIDADE
3513;TÉCNICOS EM ADMINISTRAÇÃO
3514;SERVENTUÁRIOS DA JUSTIÇA E AFINS
3515;TÉCNICOS EM SECRETARIADO, TAQUÍGRAFOS E ESTENOTIPISTAS
3516;TÉCNICOS EM SEGURANÇA DO TRABALHO
3518;AGENTES DE INVESTIGAÇÃO E IDENTIFICAÇÃO
3517;TÉCNICOS DE SEGUROS E AFINS
3519;TÉCNICOS DA INTELIGÊNCIA
3522;AGENTES DA SAÚDE E DO MEIO AMBIENTE
3523;AGENTES FISCAIS METROLÓGICOS E DE QUALIDADE
3524;PROFISSIONAIS DE DIREITOS AUTORAIS E DE AVALIACÃO DE PRODUTOS DOS MEIOS DE COMUNICAÇÃO
3532;TÉCNICOS EM OPERAÇÕES E SERVIÇOS BANCÁRIOS
3541;ESPECIALISTAS EM PROMOÇÃO DE PRODUTOS E VENDAS
3542;COMPRADORES
3543;ANALISTAS DE COMÉRCIO EXTERIOR
3544;LEILOEIROS E AVALIADORES
3545;CORRETORES DE SEGUROS
3546;CORRETORES DE IMÓVEIS
3547;REPRESENTANTES COMERCIAIS AUTÔNOMOS
3548;TÉCNICOS EM SERVIÇOS DE TURISMO E ORGANIZAÇÃO DE EVENTOS
3711;TÉCNICOS EM BIBLIOTECONOMIA
3712;TÉCNICOS EM MUSEOLOGIA E AFINS
3713;TÉCNICOS EM ARTES GRÁFICAS
3714;RECREADORES
3721;CAPTADORES DE IMAGENS EM MOVIMENTO
3722;OPERADORES DE REDE DE TELEPROCESSAMENTO E AFINS
3731;TÉCNICOS DE OPERAÇÃO DE EMISSORAS DE RÁDIO
3732;TÉCNICOS EM OPERAÇÃO DE SISTEMAS DE TELEVISÃO E DE PRODUTORAS DE VÍDEO
3741;TÉCNICOS EM ÁUDIO
3742;TÉCNICOS EM CENOGRAFIA
3743;TÉCNICOS EM OPERAÇÃO DE APARELHOS DE PROJEÇÃO
3744;TÉCNICOS EM MONTAGEM, EDIÇÃO E FINALIZAÇÃO DE FILME E VÍDEO
3751;DESIGNERS DE INTERIORES, DE VITRINES E VISUAL MERCHANDISER E AFINS (NÍVEL MÉDIO)
3761;DANÇARINOS TRADICIONAIS E POPULARES
3762;ARTISTAS DE CIRCO (CIRCENSES)
3763;APRESENTADORES DE EVENTOS, PROGRAMAS E ESPETÁCULOS
3764;MODELOS
3771;ATLETAS PROFISSIONAIS
3772;ÁRBITROS DESPORTIVOS
3911;TÉCNICOS DE PLANEJAMENTO E CONTROLE DE PRODUÇÃO
3912;TÉCNICOS DE CONTROLE DA PRODUÇÃO
3951;TÉCNICOS DE APOIO EM PESQUISA E DESENVOLVIMENTO
4101;SUPERVISORES ADMINISTRATIVOS
4102;SUPERVISORES DE SERVIÇOS FINANCEIROS, DE CÂMBIO E DE CONTROLE
4110;AGENTES, ASSISTENTES E AUXILIARES ADMINISTRATIVOS
4121;OPERADORES DE EQUIPAMENTOS DE ENTRADA E TRANSMISSÃO DE DADOS
4122;CONTÍNUOS
4131;AUXILIARES DE CONTABILIDADE
4132;ESCRITURÁRIOS DE SERVIÇOS BANCÁRIOS
4141;ALMOXARIFES E ARMAZENISTAS
4142;APONTADORES E CONFERENTES
4151;AUXILIARES DE SERVIÇOS DE DOCUMENTAÇÃO, INFORMAÇÃO E PESQUISA
4152;TRABALHADORES NOS SERVIÇOS DE CLASSIFICAÇÃO E ENTREGAS DE CORRESPONDÊNCIAS, ENCOMENDA
4201;SUPERVISORES DE ATENDIMENTO AO PÚBLICO E DE PESQUISA
4211;CAIXAS E BILHETEIROS (EXCETO CAIXA DE BANCO)
4212;COLETADORES DE APOSTAS E DE JOGOS
4213;COBRADORES E AFINS
4221;RECEPCIONISTAS
4222;OPERADORES DE TELEFONIA
4223;OPERADORES DE TELEMARKETING
4231;DESPACHANTES DOCUMENTALISTAS E AFINS
4241;ENTREVISTADORES E RECENSEADORES
4242;APLICADORES DE PROVAS E AFINS
5101;SUPERVISORES DOS SERVIÇOS DE TRANSPORTE, TURISMO, HOTELARIA E ADMINISTRAÇÃO DE EDIFÍCIOS
5102;SUPERVISORES DE LAVANDERIA
5103;SUPERVISORES DOS SERVIÇOS DE PROTEÇÃO, SEGURANÇA E OUTROS
5111;TRABALHADORES DE SEGURANÇA E ATENDIMENTO AOS USUÁRIOS NOS TRANSPORTES
5112;FISCAIS E COBRADORES DOS TRANSPORTES COLETIVOS
5114;GUIAS DE TURISMO
5115;CONDUTORES DE TURISMO
5121;TRABALHADORES DOS SERVIÇOS DOMÉSTICOS EM GERAL
5131;MORDOMOS E GOVERNANTAS
5132;COZINHEIROS
5133;CAMAREIROS, ROUPEIROS E AFINS
5134;TRABALHADORES NO ATENDIMENTO EM ESTABELECIMENTOS DE SERVIÇOS DE ALIMENTAÇÃO, BEBIDAS E
5135;TRABALHADORES AUXILIARES NOS SERVIÇOS DE ALIMENTAÇÃO
5136;CHURRASQUEIROS, PIZZAIOLOS E SUSHIMEN
5141;TRABALHADORES NOS SERVIÇOS DE ADMINISTRAÇÃO DE EDIFÍCIOS
5142;TRABALHADORES NOS SERVIÇOS DE COLETA DE RESÍDUOS, DE LIMPEZA E CONSERVAÇÃO DE ÁREAS PÚBL
5143;TRABALHADORES NOS SERVIÇOS DE MANUTENÇÃO DE EDIFICAÇÕES
5151;TRABALHADORES EM SERVIÇOS DE PROMOÇÃO E APOIO À SAÚDE
5152;AUXILIARES DE LABORATÓRIO DA SAÚDE
5153;TRABALHADORES DE ATENÇÃO, DEFESA E PROTEÇÃO A PESSOAS EM SITUAÇÃO DE RISCO E ADOLESCENT
5161;TRABALHADORES NOS SERVIÇOS DE EMBELEZAMENTO E HIGIENE
5162;CUIDADORES DE CRIANÇAS, JOVENS, ADULTOS E IDOSOS
5163;TINTUREIROS, LAVADEIROS E AFINS, A MÁQUINA
5164;LAVADORES E PASSADORES DE ROUPA, A MÃO
5165;TRABALHADORES DOS SERVIÇOS FUNERÁRIOS
5166;TRABALHADORES AUXILIARES DOS SERVIÇOS FUNERÁRIOS
5167;ASTRÓLOGOS E NUMERÓLOGOS
5168;ESOTÉRICOS E PARANORMAIS
5171;BOMBEIROS E SALVA-VIDAS
5172;POLICIAIS, GUARDAS-CIVIS MUNICIPAIS E AGENTES DE TRÂNSITO
5173;VIGILANTES E GUARDAS DE SEGURANÇA
5174;PORTEIROS, VIGIAS E AFINS
5191;MOTOCICLISTAS E CICLISTAS DE ENTREGAS RÁPIDAS
5192;TRABALHADORES DA COLETA E SELEÇÃO DE MATERIAL RECICLÁVEL
5193;TRABALHADORES DE SERVIÇOS VETERINÁRIOS, DE HIGIENE E ESTÉTICA DE ANIMAIS DOMÉSTICOS
5198;PROFISSIONAIS DO SEXO
